date,temperature_2m_max,temperature_2m_min,sunrise,sunset,uv_index_max,uv_index_clear_sky_max,cloud_cover_mean,precipitation_probability_mean,relative_humidity_2m_mean,wind_speed_10m_mean,precipitation_hours
2025-06-04 04:00:00+00:00,87.268105,68.5481,1749032416,1749085359,7.9,7.9,32.875,0.41666666,60.208332,8.330601,0.0
2025-06-05 04:00:00+00:00,81.3281,68.9081,1749118801,1749171796,7.5,7.8,91.333336,23.375,77.125,4.063556,2.0
2025-06-06 04:00:00+00:00,84.0776,68.0576,1749205188,1749258232,7.65,7.8,66.833336,40.75,89.125,5.796097,13.0
2025-06-07 04:00:00+00:00,81.7376,67.8776,1749291577,1749344667,6.75,7.65,83.75,26.875,82.833336,6.836497,9.0
2025-06-08 04:00:00+00:00,81.5576,63.5576,1749377968,1749431100,7.0,7.8,2.9583333,7.875,73.708336,3.4424922,0.0
2025-06-09 04:00:00+00:00,84.2576,66.2576,1749464360,1749517532,7.45,7.5,48.666668,19.75,77.833336,5.563333,15.0
2025-06-10 04:00:00+00:00,74.5376,59.5976,1749550754,1749603963,7.2,7.45,64.625,11.875,74.083336,7.2987847,0.0
2025-06-11 04:00:00+00:00,75.347595,54.557602,1749637149,1749690391,7.35,7.35,15.458333,7.5,68.791664,5.0228415,0.0
2025-06-12 04:00:00+00:00,78.9476,58.1576,1749723546,1749776819,7.55,7.55,15.708333,12.25,65.791664,4.4178214,0.0
2025-06-13 04:00:00+00:00,86.8676,60.857597,1749809945,1749863244,7.55,7.55,2.125,22.5,64.833336,4.226147,0.0
2025-06-14 04:00:00+00:00,88.2176,67.6976,1749896345,1749949667,7.15,7.5,33.833332,31.958334,68.25,2.5860922,12.0
2025-06-15 04:00:00+00:00,87.6776,68.7776,1749982747,1750036089,7.2,7.45,15.083333,41.5,72.5,1.9851626,9.0
2025-06-16 04:00:00+00:00,88.2176,69.8576,1750069151,1750122508,7.5,7.55,13.333333,33.291668,69.416664,5.282202,0.0
2025-06-17 04:00:00+00:00,90.3776,68.417595,1750155557,1750208926,7.6,7.6,9.166667,32.5,68.291664,6.1222167,0.0
2025-06-18 04:00:00+00:00,90.8276,71.6576,1750241965,1750295343,7.25,7.55,47.416668,22.875,66.041664,5.548204,3.0
2025-06-19 04:00:00+00:00,85.8776,72.1076,1750328374,1750381759,3.85,7.35,,21.958334,,,6.0
